시설번호,시설명,호선,역코드,역명,역번호,기준일자,관리번호,출입구내외부,지상지하,인접출입구번호,상세위치,화장실정보,역층,휠체어이용가능
1740757,건축)대합실화장실-마포구청_지하2층,6호선,2621,마포구청,620,20210527,,외부,지하,"3,4",나대합실 지하1층 편의점옆,"일반(남,여) / 교통약자(남,여)",B2,N
1740758,건축)대합실화장실-망원_지하1층,6호선,2622,망원,621,20210527,,외부,지하,1,B1 대합실 1번 출입구 옆,"일반(남,여) / 교통약자(남,여)",B1,Y
1740759,건축)대합실화장실-합정(6)_지하1층,6호선,2623,합정,622,20210527,,외부,지하,8,대합실 1층 8번 출입구 앞,"일반(남,여) / 교통약자(남,여)",B1,N
1740760,건축)대합실화장실-상수_지하2층,6호선,2624,상수,623,20210527,,외부,지하,1~4,B2 대합실 상가 미샤 옆,"일반(남,여) / 교통약자(남,여)",B2,Y
1740761,건축)대합실화장실-광흥창_지하2층,6호선,2625,광흥창,624,20210527,,외부,지하,"1,2,5,6","대합실 2층 (1,2,5,6번 출입구방향)","일반(남,여) / 교통약자(남,여)",B2,Y
1740762,건축)대합실화장실-대흥_지하1층,6호선,2626,대흥,625,20210527,,외부,지하,4,대합실 1층 4번 출입구 앞,"일반(남,여) / 교통약자(남,여)",B1,Y
1740763,건축)대합실화장실-공덕(6)_지하1층,6호선,2627,공덕,626,20210527,,외부,지하,7,대합실 1층 7번 출입구 앞,"일반(남,여) / 교통약자(남,여)",B1,Y
1740764,건축)대합실화장실-효창공원앞(6)_지하1층,6호선,2628,효창공원앞,627,20210527,,외부,지하,"3,6","대합실 1층 3,6번 출입구 앞","일반(남,여) / 교통약자(남,여)",B1,Y
1740765,건축)대합실화장실-삼각지(6)_지하1층,6호선,2629,삼각지,628,20210527,,외부,지하,"7,8","대합실 1층 7,8번 출입구 측면","일반(남,여) / 교통약자(남,여)",B1,N
1740766,건축)대합실화장실-녹사평_지하1층,6호선,2630,녹사평,629,20210527,,외부,지하,"1,2","대합실 지하1층 1,2번 출입구 진입 방향","일반(남,여) / 교통약자(남,여)",B1,Y
1740767,건축)대합실화장실-이태원_지하1층,6호선,2631,이태원,630,20210527,,외부,지하,3,B1 대합실 E/S 옆,"일반(남,여) / 교통약자(남,여)",B1,Y
1740768,건축)대합실화장실-한강진_지하1층,6호선,2632,한강진,631,20210527,,외부,지하,1~3,대합실 B1층 임대상가(gs25)옆,"일반(남,여) / 교통약자(남,여)",B1,Y
1740769,건축)대합실화장실-버티고개_지하1층,6호선,2633,버티고개,632,20210527,,외부,지하,1,대합실 1층 1번 출입구 앞,"일반(남,여) / 교통약자(남,여)",B1,Y
1740770,건축)대합실화장실-약수(6)_지하1층,6호선,2634,약수,633,20210527,,외부,지하,"7,8","대합실 B1 7,8번 출입구앞","일반(남,여) / 교통약자(남,여)",B1,Y
1740771,건축)대합실화장실-청구(6)_지하1층,6호선,2635,청구,634,20210527,,외부,지하,1,B1 대합실 1번 출입구 나가는 방향 맞은편,"일반(남,여) / 교통약자(남,여)",B1,Y
1740772,건축)대합실화장실-신당(6)_지하1층,6호선,2636,신당,635,20210527,,외부,지하,5~8,대합실 B1층 5~8번 출입구 나가는 방향 계단 하부,"일반(남,여) / 교통약자(남,여)",B1,Y
1740773,건축)대합실화장실-동묘앞(6)_지하1층,6호선,2637,동묘앞,636,20210527,,외부,지하,7,대합실 1층 7번 출입구 앞,"일반(남,여) / 교통약자(남,여)",B1,N
1740775,건축)대합실화장실-보문(6)_지하2층,6호선,2639,보문,638,20210527,,외부,지하,"1,2",지하2층 대합실 아이센터 옆,"일반(남,여) / 교통약자(남,여)",B2,Y
1740776,건축)대합실화장실-안암_지하1층,6호선,2640,안암,639,20210527,,외부,지하,"3,4","대합실 B1층 3,4번 출입구 계단 인근","일반(남,여) / 교통약자(남,여,공용)",B1,N
1740777,건축)대합실화장실-안암_지하2층,6호선,2640,안암,639,20210527,,내부,지하,"3,4",대합실 B2층 봉화산방면 승강장 계단 인근,"일반(남,여) / 교통약자(남,여)",B2,Y
1740778,건축)대합실화장실-고려대_지하1층,6호선,2641,고려대,640,20210527,,내부,지하,2,지하 1층 대합실(개집표기 내부),"일반(남,여) / 교통약자(남,여)",B1,Y
1740779,건축)대합실화장실-월곡_지하1층,6호선,2642,월곡,641,20210527,,외부,지하,1~3,지하 1층,"일반(남,여) / 교통약자(남,여)",B1,N
1740780,건축)대합실화장실-상월곡_지하2층,6호선,2643,상월곡,642,20210527,,외부,지하,"1,4","지하 2층 대합실(1, 4번 출입구방면)","일반(남,여) / 교통약자(남,여)",B2,Y
1740781,건축)대합실화장실-돌곶이_지하1층,6호선,2644,돌곶이,643,20210527,,외부,지하,"6,7","지하 1층 대합실(6,7번 출입구 사이)","일반(남,여) / 교통약자(남,여)",B1,Y
1740782,건축)대합실화장실-석계(6)_지하1층,6호선,2645,석계,644,20210527,,외부,지하,7,지하 1층 대합실(7번 출입구 앞),"일반(남,여) / 교통약자(남,여)",B1,N
1740784,건축)대합실화장실-태릉입구(6)_지하1층,6호선,2646,태릉입구,645,20210527,,외부,지하,1,대합실 지하1층 아이센터 옆,"일반(남,여) / 교통약자(남,여)",B1,Y
1740785,건축)대합실화장실-화랑대_지하1층,6호선,2647,화랑대,646,20210527,,외부,지하,"6,7",지하 1층 대합실(개집표기 외부),"일반(남,여) / 교통약자(남,여)",B1,Y
1740786,건축)대합실화장실-봉화산_지하1층,6호선,2648,봉화산,647,20210527,,외부,지하,"2,3",지하 1층 대합실(고객상담실 옆),"일반(남,여) / 교통약자(남,여)",B1,Y
