datetime_full,호선,역명,사용일수구분,승차건수,하차건수
2024-01-29 17:00:00,2호선,삼성(무역센터),7일권,2,0
2024-01-29 17:00:00,2호선,홍대입구,2일권,0,4
2024-01-29 20:00:00,2호선,동대문역사문화공원(DDP),2일권,0,3
2024-01-29 20:00:00,2호선,합정,2일권,3,0
2024-01-30 10:00:00,4호선,동대문역사문화공원(DDP),2일권,4,0
2024-01-30 11:00:00,5호선,여의나루,2일권,0,4
2024-01-30 14:00:00,4호선,동대문역사문화공원(DDP),2일권,0,2
2024-01-30 14:00:00,5호선,여의도,2일권,2,0
2024-01-30 14:00:00,5호선,여의나루,2일권,2,0
2024-01-30 15:00:00,2호선,을지로입구,2일권,0,2
2024-01-30 15:00:00,2호선,을지로입구,3일권,0,3
2024-01-30 15:00:00,2호선,뚝섬,2일권,0,2
2024-01-30 18:00:00,2호선,을지로입구,2일권,2,0
2024-01-30 18:00:00,2호선,을지로입구,3일권,3,0
2024-01-30 19:00:00,2호선,홍대입구,2일권,0,2
2024-01-30 19:00:00,2호선,홍대입구,3일권,0,3
2024-01-30 20:00:00,2호선,을지로입구,3일권,1,4
2024-01-30 20:00:00,2호선,홍대입구,3일권,3,0
2024-01-30 21:00:00,4호선,명동,2일권,2,0
2024-01-30 21:00:00,4호선,신용산,2일권,0,2
2024-01-30 22:00:00,2호선,을지로입구,2일권,0,2
2024-01-30 22:00:00,2호선,문래,2일권,2,2
2024-01-30 22:00:00,2호선,홍대입구,2일권,2,0
2024-01-30 22:00:00,4호선,동대문역사문화공원(DDP),2일권,0,2
2024-01-30 22:00:00,4호선,신용산,2일권,2,0
2024-01-31 10:00:00,2호선,을지로입구,2일권,1,0
2024-01-31 10:00:00,2호선,을지로입구,3일권,3,0
2024-01-31 11:00:00,2호선,을지로4가,2일권,0,1
2024-01-31 11:00:00,2호선,을지로4가,3일권,0,3
2024-01-31 12:00:00,1호선,서울역,3일권,1,0
2024-01-31 12:00:00,1호선,종로5가,2일권,1,0
2024-01-31 12:00:00,1호선,종로5가,3일권,3,0
2024-01-31 13:00:00,3호선,안국,2일권,0,1
2024-01-31 13:00:00,3호선,안국,3일권,0,3
2024-01-31 15:00:00,1호선,서울역,7일권,0,2
2024-01-31 15:00:00,2호선,을지로입구,2일권,1,0
2024-01-31 15:00:00,2호선,을지로입구,7일권,2,0
2024-01-31 15:00:00,3호선,경복궁(정부서울청사),2일권,0,1
2024-01-31 17:00:00,2호선,시청,3일권,3,0
2024-01-31 17:00:00,2호선,을지로입구,3일권,0,3
2024-01-31 17:00:00,3호선,경복궁(정부서울청사),2일권,2,0
2024-01-31 19:00:00,3호선,경복궁(정부서울청사),3일권,0,1
2024-01-31 21:00:00,2호선,을지로입구,2일권,0,2
2024-01-31 21:00:00,2호선,을지로3가,2일권,2,2
2024-01-31 21:00:00,3호선,고속터미널,2일권,2,0
2024-01-31 22:00:00,2호선,시청,3일권,1,0
2024-01-31 22:00:00,2호선,홍대입구,3일권,0,1
2024-02-01 10:00:00,2호선,을지로입구,3일권,3,0
2024-02-01 11:00:00,7호선,자양(뚝섬한강공원),3일권,0,3
2024-02-01 12:00:00,7호선,자양(뚝섬한강공원),3일권,3,0
2024-02-01 13:00:00,1호선,신설동,3일권,0,3
2024-02-01 15:00:00,2호선,시청,3일권,0,1
2024-02-01 15:00:00,5호선,여의도,3일권,1,0
2024-02-01 16:00:00,1호선,시청,3일권,1,0
2024-02-01 17:00:00,2호선,을지로입구,3일권,0,3
2024-02-01 17:00:00,2호선,동대문역사문화공원(DDP),3일권,3,0
2024-02-01 17:00:00,3호선,경복궁(정부서울청사),3일권,0,1
2024-02-01 18:00:00,2호선,을지로입구,3일권,1,0
2024-02-01 18:00:00,3호선,종로3가,3일권,0,1
2024-02-01 19:00:00,3호선,경복궁(정부서울청사),3일권,1,0
2024-02-01 19:00:00,3호선,안국,3일권,0,1
2024-02-01 20:00:00,2호선,신촌,3일권,0,1
2024-02-01 20:00:00,3호선,안국,3일권,1,0
2024-02-01 20:00:00,5호선,종로3가,3일권,1,0
2024-02-01 21:00:00,2호선,을지로입구,3일권,0,1
2024-02-02 12:00:00,4호선,숙대입구(갈월),3일권,0,1
2024-02-02 15:00:00,4호선,서울역,2일권,1,0
