,datetime_full,호선,역명,사용일수구분,승차건수,하차건수
311,2024-01-24 18:00:00,4호선,명동,3일권,0,2
312,2024-01-25 10:00:00,1호선,서울역,3일권,2,0
313,2024-01-25 10:00:00,4호선,서울역,3일권,1,0
314,2024-01-25 10:00:00,4호선,서울역,7일권,7,0
315,2024-01-25 11:00:00,1호선,시청,3일권,0,5
316,2024-01-25 11:00:00,3호선,경복궁(정부서울청사),7일권,0,2
317,2024-01-25 11:00:00,3호선,안국,3일권,0,1
318,2024-01-25 11:00:00,3호선,안국,7일권,0,7
319,2024-01-25 11:00:00,4호선,서울역,7일권,2,0
320,2024-01-25 15:00:00,1호선,서울역,3일권,0,5
321,2024-01-25 15:00:00,1호선,시청,3일권,5,0
322,2024-01-25 16:00:00,1호선,서울역,3일권,5,0
323,2024-01-25 16:00:00,4호선,회현(남대문시장),3일권,0,5
324,2024-01-25 17:00:00,5호선,발산,3일권,2,0
325,2024-01-25 18:00:00,4호선,명동,3일권,0,2
326,2024-01-25 18:00:00,4호선,회현(남대문시장),3일권,5,0
327,2024-01-25 18:00:00,4호선,서울역,3일권,0,5
328,2024-01-25 19:00:00,1호선,서울역,3일권,5,0
329,2024-01-25 19:00:00,4호선,명동,3일권,1,0
330,2024-01-25 19:00:00,4호선,명동,7일권,7,0
331,2024-01-25 19:00:00,4호선,숙대입구(갈월),3일권,0,1
332,2024-01-25 19:00:00,4호선,숙대입구(갈월),7일권,0,7
333,2024-01-26 09:00:00,1호선,서울역,3일권,3,0
334,2024-01-26 09:00:00,1호선,서울역,7일권,6,0
335,2024-01-26 09:00:00,2호선,을지로입구,7일권,2,0
336,2024-01-26 09:00:00,2호선,잠실(송파구청),3일권,0,0
337,2024-01-26 09:00:00,4호선,명동,3일권,2,0
338,2024-01-26 09:00:00,4호선,서울역,3일권,0,2
339,2024-01-26 10:00:00,2호선,을지로4가,7일권,0,2
340,2024-01-26 10:00:00,2호선,잠실(송파구청),3일권,0,5
341,2024-01-26 10:00:00,3호선,경복궁(정부서울청사),3일권,0,1
342,2024-01-26 10:00:00,3호선,경복궁(정부서울청사),7일권,0,6
343,2024-01-26 12:00:00,2호선,합정,3일권,0,0
344,2024-01-26 14:00:00,2호선,잠실(송파구청),3일권,1,0
345,2024-01-26 14:00:00,2호선,합정,3일권,0,2
346,2024-01-26 15:00:00,1호선,서울역,3일권,0,1
347,2024-01-26 15:00:00,1호선,서울역,7일권,0,7
348,2024-01-26 15:00:00,1호선,종각,3일권,1,0
349,2024-01-26 15:00:00,1호선,종각,7일권,7,0
350,2024-01-26 15:00:00,2호선,홍대입구,3일권,0,1
351,2024-01-26 15:00:00,4호선,서울역,3일권,1,0
352,2024-01-26 15:00:00,4호선,서울역,7일권,6,0
353,2024-01-26 17:00:00,2호선,잠실(송파구청),3일권,0,0
354,2024-01-26 18:00:00,2호선,잠실(송파구청),3일권,0,1
355,2024-01-26 18:00:00,4호선,숙대입구(갈월),7일권,1,0
356,2024-01-26 19:00:00,2호선,홍대입구,7일권,0,1
357,2024-01-26 20:00:00,2호선,잠실(송파구청),3일권,1,0
358,2024-01-26 21:00:00,2호선,잠실(송파구청),3일권,4,0
359,2024-01-26 21:00:00,2호선,홍대입구,3일권,1,1
360,2024-01-26 21:00:00,4호선,숙대입구(갈월),3일권,0,0
361,2024-01-26 21:00:00,4호선,숙대입구(갈월),7일권,0,0
362,2024-01-26 22:00:00,4호선,숙대입구(갈월),3일권,0,1
363,2024-01-26 22:00:00,4호선,숙대입구(갈월),7일권,0,7
364,2024-01-27 10:00:00,1호선,서울역,3일권,1,0
365,2024-01-27 10:00:00,1호선,서울역,7일권,6,0
366,2024-01-27 10:00:00,4호선,충무로,3일권,0,1
367,2024-01-27 10:00:00,4호선,충무로,7일권,0,6
368,2024-01-27 11:00:00,4호선,명동,7일권,2,0
369,2024-01-27 11:00:00,4호선,숙대입구(갈월),7일권,1,0
370,2024-01-27 11:00:00,4호선,신용산,7일권,0,2
371,2024-01-27 12:00:00,2호선,역삼,3일권,0,1
372,2024-01-27 12:00:00,2호선,역삼,7일권,0,7
373,2024-01-27 12:00:00,2호선,홍대입구,7일권,0,0
374,2024-01-27 12:00:00,4호선,충무로,3일권,1,0
375,2024-01-27 12:00:00,4호선,충무로,7일권,6,0
376,2024-01-27 13:00:00,2호선,홍대입구,7일권,0,2
377,2024-01-27 14:00:00,2호선,역삼,3일권,1,0
378,2024-01-27 14:00:00,2호선,역삼,7일권,7,0
379,2024-01-27 15:00:00,2호선,홍대입구,3일권,0,1
380,2024-01-27 15:00:00,2호선,홍대입구,7일권,0,7
381,2024-01-27 16:00:00,2호선,을지로입구,7일권,0,2
382,2024-01-27 16:00:00,2호선,홍대입구,7일권,2,0
383,2024-01-27 18:00:00,2호선,동대문역사문화공원(DDP),3일권,0,1
384,2024-01-27 18:00:00,2호선,동대문역사문화공원(DDP),7일권,0,7
385,2024-01-27 18:00:00,2호선,홍대입구,3일권,1,0
386,2024-01-27 18:00:00,2호선,홍대입구,7일권,7,0
387,2024-01-27 19:00:00,2호선,을지로입구,7일권,2,0
388,2024-01-27 19:00:00,2호선,홍대입구,7일권,0,2
389,2024-01-27 22:00:00,4호선,서울역,7일권,0,5
390,2024-01-27 22:00:00,5호선,마장,7일권,5,0
391,2024-01-29 10:00:00,4호선,동대문역사문화공원(DDP),2일권,3,7
392,2024-01-29 10:00:00,4호선,서울역,2일권,4,0
393,2024-01-29 12:00:00,3호선,안국,2일권,0,4
394,2024-01-29 12:00:00,3호선,동대입구,2일권,4,0
395,2024-01-29 14:00:00,4호선,명동,7일권,2,0
396,2024-01-29 15:00:00,4호선,동대문역사문화공원(DDP),2일권,0,4
397,2024-01-29 15:00:00,5호선,서대문,2일권,4,0
398,2024-01-29 16:00:00,4호선,동대문역사문화공원(DDP),2일권,4,0
399,2024-01-29 16:00:00,4호선,명동,2일권,0,4
400,2024-01-29 17:00:00,2호선,을지로입구,2일권,4,0
401,2024-01-29 17:00:00,2호선,을지로입구,7일권,0,2
402,2024-01-29 17:00:00,2호선,삼성(무역센터),7일권,2,0
403,2024-01-29 17:00:00,2호선,홍대입구,2일권,0,4
404,2024-01-29 20:00:00,2호선,동대문역사문화공원(DDP),2일권,0,3
405,2024-01-29 20:00:00,2호선,합정,2일권,3,0
406,2024-01-30 10:00:00,4호선,동대문역사문화공원(DDP),2일권,4,0
407,2024-01-30 11:00:00,5호선,여의나루,2일권,0,4
408,2024-01-30 14:00:00,2호선,을지로입구,2일권,0,0
409,2024-01-30 14:00:00,2호선,을지로입구,3일권,0,0
