역명,어린이_해당역,일반_해당역,어린이_전체,일반_전체,z통계량,p값,어린이비율,일반비율,어린이_더많음,유의미
고속터미널,2776,40996,267473,3676074,-3.6865189007300034,0.0002273425642977618,0.010378617654866099,0.011152115000949382,False,True
을지로입구,15999,213622,267473,3676074,3.633332085510418,0.0002797845482907614,0.05981538323494334,0.05811145259861472,True,True
신풍,42,328,267473,3676074,3.4952524584274407,0.00047361354754538827,0.00015702519506641792,8.922562494661425e-05,True,True
하남풍산,24,157,267473,3676074,3.4656611791323195,0.0005289293829167448,8.972868289509596e-05,4.2708607062861085e-05,True,True
용마산(용마폭포공원),34,255,267473,3676074,3.3685048368868644,0.0007557707093327577,0.00012711563410138595,6.936748280910559e-05,True,True
장승배기,5,279,267473,3676074,-3.3659307839839485,0.0007628584778242115,1.869347560314499e-05,7.5896187073492e-05,False,True
잠실새내,371,4273,267473,3676074,3.2711137425224956,0.00107124815320054,0.0013870558897533583,0.00116238138840513,True,True
보라매,10,370,267473,3676074,-3.2182311025311954,0.0012898384743788248,3.738695120628998e-05,0.00010065085740929045,False,True
효창공원앞,48,1056,267473,3676074,-3.2177312508840323,0.001292088223406299,0.00017945736579019192,0.00028726298763300195,False,True
광흥창(서강),66,1355,267473,3676074,-3.205709615281656,0.0013472987669355496,0.0002467538779615139,0.0003685997615934826,False,True
숭실대입구(살피재),32,775,267473,3676074,-3.183176957575693,0.0014566855849961237,0.00011963824386012794,0.0002108227418708111,False,True
대흥(서강대앞),57,1201,267473,3676074,-3.176476050065653,0.0014907609824655384,0.0002131056218758529,0.0003267072425636698,False,True
동작(현충원),46,999,267473,3676074,-3.061000641528065,0.0022059862176015458,0.0001719799755489339,0.0002717573150050842,False,True
가락시장,103,1040,267473,3676074,2.9972082026094142,0.0027246455937328636,0.0003850855974247868,0.000282910518123411,True,True
문래,197,2169,267473,3676074,2.9872175578419755,0.002815292986426483,0.0007365229387639126,0.0005900316478939216,True,True
을지로3가,7540,100120,267473,3676074,2.923797614671782,0.003457894903497644,0.028189761209542644,0.0272355779562653,True,True
태릉입구,14,416,267473,3676074,-2.908610988932724,0.003630382861998178,5.234173168880597e-05,0.0001131642072493644,False,True
독립문,100,1844,267473,3676074,-2.8738280627657353,0.004055296659507719,0.0003738695120628998,0.0005016221109803557,False,True
중계,30,238,267473,3676074,2.8722450935230133,0.004075667356475162,0.00011216085361886994,6.474298395516521e-05,True,True
신대방삼거리,10,333,267473,3676074,-2.848432470693352,0.004393517628241861,3.738695120628998e-05,9.058577166836141e-05,False,True
건대입구,1005,15132,267473,3676074,-2.8077372857019642,0.004989090929590537,0.003757388596232143,0.00411634803869563,False,True
발산,345,5507,267473,3676074,-2.7009469716486163,0.006914236159469453,0.0012898498166170043,0.0014980655993323312,False,True
서울대입구(관악구청),150,2585,267473,3676074,-2.700775059007545,0.006917810819195481,0.0005608042680943497,0.000703195855143286,False,True
중곡,45,408,267473,3676074,2.667525166668242,0.0076412166100455,0.00016824128042830492,0.00011098797249456894,True,True
제기동,189,3148,267473,3676074,-2.5713496851502375,0.010130298119164707,0.0007066133777988806,0.0008563483760120171,False,True
버티고개,27,607,267473,3676074,-2.527563582740231,0.011485702452783532,0.00010094476825698295,0.00016512181202010625,False,True
미아(서울사이버대학),86,893,267473,3676074,2.491426153667058,0.01272314125909341,0.00032152778037409385,0.00024292220450404425,True,True
이촌(국립중앙박물관),1403,18005,267473,3676074,2.479527731471409,0.013155649964591641,0.005245389254242484,0.004897888345011553,True,True
온수(성공회대입구),28,240,267473,3676074,2.3863614489094025,0.017016017771277273,0.00010468346337761194,6.528704264386408e-05,True,True
광명사거리,52,507,267473,3676074,2.3694834499450215,0.017812952294233696,0.0001944121462727079,0.00013791887758516285,True,True
길음,49,951,267473,3676074,-2.3678611915535623,0.017891246953933772,0.0001831960609108209,0.0002586999064763114,False,True
무악재,32,286,267473,3676074,2.3265126639557505,0.01999121767504578,0.00011963824386012794,7.780039248393803e-05,True,True
을지로4가,4588,65314,267473,3676074,-2.3242059970806888,0.02011445604742362,0.017153133213445842,0.01776732459683891,False,True
길동,51,973,267473,3676074,-2.2936934574286014,0.021808112826297413,0.0001906734511520789,0.00026468455205199895,False,True
대림(구로구청),511,7788,267473,3676074,-2.2674131024564974,0.023365001828563804,0.001910473206641418,0.0021185645337933896,False,True
이수,46,886,267473,3676074,-2.2426619577579165,0.02491862157212287,0.0001719799755489339,0.00024101799909359822,False,True
고덕,33,303,267473,3676074,2.2154226033687094,0.026731071296347813,0.00012337693898075694,8.242489133787839e-05,True,True
돌곶이,36,341,267473,3676074,2.136390385779304,0.032647607049413156,0.00013459302434264394,9.276200642315688e-05,True,True
모란,24,210,267473,3676074,2.1134317688968753,0.03456382922949207,8.972868289509596e-05,5.712616231338107e-05,True,True
마포구청,135,2223,267473,3676074,-2.0425784529276676,0.041094185896270764,0.0005047238412849148,0.000604721232488791,False,True
상월곡(한국과학기술연구원),21,182,267473,3676074,2.0185616834937057,0.04353279690248979,7.851259753320896e-05,4.9509340671596926e-05,True,True
옥수,103,1734,267473,3676074,-2.004302225873416,0.04503769558751283,0.0003850855974247868,0.000471698883101918,False,True
도봉산,12,92,267473,3676074,1.9289065929712352,0.053742459209167044,4.486434144754798e-05,2.5026699680147896e-05,True,False
내방,52,938,267473,3676074,-1.9148076697601069,0.05551703599845135,0.0001944121462727079,0.0002551635249997688,False,False
송파,25,235,267473,3676074,1.816675330534209,0.06926684127552918,9.346737801572496e-05,6.392689592211691e-05,True,False
신정(은행정),47,490,267473,3676074,1.8154702150624598,0.06945167918886003,0.0001757186706695629,0.0001332943787312225,True,False
